pl_hostname,pl_letter,pl_discmethod,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmassj,st_dist,st_mass,rowupdate,st_plx
Kepler-259,c,Transit,36.924931,0.217,,,,,2014-05-14,
Kepler-741,b,Transit,7.03902374,,,,1530.,1.16,2016-05-10,
Kepler-1247,b,Transit,13.71220213,,,,1094.,0.86,2016-05-10,
Kepler-935,b,Transit,4.88083852,,,,482.,0.78,2016-05-10,
Kepler-564,b,Transit,3.75083228,,,,830.,0.95,2016-05-10,
Kepler-59,c,Transit,17.9801235,,,1.37,,1.04,2014-05-14,
Kepler-59,b,Transit,11.8681707,,,2.05,,1.04,2014-05-14,
Kepler-1321,b,Transit,11.12830484,,,,547.,0.54,2016-05-10,
Kepler-1321,c,Transit,2.22649109,,,,547.,0.54,2016-05-10,
Kepler-1564,b,Transit,18.0540381,,,,872.,0.93,2016-05-10,
Kepler-1377,b,Transit,0.74092842,,,,1019.,0.86,2016-05-10,
Kepler-1391,b,Transit,54.4092333,,,,721.,1.03,2016-05-10,
Kepler-1233,b,Transit,45.1263042,,,,1281.,1.16,2016-05-10,
Kepler-1044,b,Transit,6.77408868,,,,1507.,1.08,2016-05-10,
Kepler-43,b,Transit,3.0240949,0.046,,3.23,1950.,1.32,2015-10-15,
Kepler-881,b,Transit,4.44448017,,,,1364.,1.06,2016-05-10,
Kepler-868,b,Transit,5.03251791,,,,1269.,0.93,2016-05-10,
Kepler-1350,c,Transit,1.76678906,,,,350.,0.55,2016-05-10,
Kepler-1350,b,Transit,4.4968604,,,,350.,0.55,2016-05-10,
Kepler-66,b,Transit,17.815815,0.1352,,,1107.,1.04,2014-05-14,
HAT-P-32,b,Transit,2.15000805,0.0343,0.0072,,283.,,2014-10-15,
Kepler-35,b,Transit,131.458,0.60347,0.042,0.127,1645.,0.89,2014-05-14,
Kepler-740,b,Transit,3.58410122,,,,1262.,0.91,2016-05-10,
Kepler-1252,b,Transit,15.0540329,,,,828.,1.06,2016-05-10,
Kepler-1282,b,Transit,2.13194651,,,,1126.,0.92,2016-05-10,
Kepler-905,b,Transit,5.08274652,,,,521.,0.95,2016-05-10,
Kepler-937,c,Transit,153.343364,,,,1482.,1.15,2016-05-10,
Kepler-937,b,Transit,67.668827,,,,1482.,1.15,2016-05-10,
Kepler-653,c,Transit,0.90037648,,,,593.,1.02,2016-05-10,
Kepler-653,b,Transit,14.70748976,,,,593.,1.02,2016-05-10,
Kepler-1572,b,Transit,5.49548621,,,,600.,0.97,2016-05-10,
Kepler-1446,b,Transit,0.68996783,,,,162.,0.81,2016-05-10,
Kepler-342,d,Transit,39.459357,0.242,,,,1.13,2014-05-14,
Kepler-342,e,Transit,1.64422461,,,,,1.13,2016-05-10,
Kepler-342,b,Transit,15.170318,0.128,,,,1.13,2014-05-14,
Kepler-342,c,Transit,26.234138,0.185,,,,1.13,2014-05-14,
Kepler-976,b,Transit,105.9564148,,,,1020.,0.87,2016-05-10,
Kepler-936,b,Transit,10.56134221,,,,687.,0.92,2016-05-10,
Kepler-361,c,Transit,55.188023,0.3,,,,1.07,2014-05-14,
Kepler-361,b,Transit,8.486616,0.086,,,,1.07,2014-05-14,
Kepler-1307,b,Transit,18.01621096,,,,1396.,1.06,2016-05-10,
Kepler-1562,b,Transit,64.2737752,,,,1315.,1.02,2016-05-10,
Kepler-403,b,Transit,7.031462,0.076,,,,,2014-05-14,
Kepler-403,c,Transit,54.280749,0.297,,,,,2014-05-14,
Kepler-403,d,Transit,13.61159129,,,,,,2016-05-10,
Kepler-960,b,Transit,3.12686223,,,,298.,0.77,2016-05-10,
Kepler-1263,b,Transit,4.55139967,,,,695.,0.84,2016-05-10,
Kepler-219,c,Transit,22.714613,0.165,,,,,2014-05-14,
Kepler-219,d,Transit,47.903645,0.272,,,,,2014-05-14,
Kepler-219,b,Transit,4.585512,0.057,,,,,2014-05-14,
Kepler-1436,b,Transit,9.705716,,,,1142.,1.06,2016-05-10,
Kepler-140,b,Transit,3.25427,0.045,,,,,2014-05-14,
Kepler-140,c,Transit,91.353282,0.414,,,,,2014-05-14,
Kepler-1598,b,Transit,4.34195123,,,,734.,1.07,2016-05-10,
Kepler-742,b,Transit,8.36086824,,,,499.,0.76,2016-05-10,
Kepler-318,b,Transit,4.662715,0.056,,,,1.05,2014-05-14,
Kepler-318,c,Transit,11.815007,0.105,,,,1.05,2014-05-14,
Kepler-1337,b,Transit,24.4002549,,,,588.,0.7,2016-05-10,
Kepler-1175,b,Transit,37.94563,,,,1244.,0.9,2016-05-10,
Kepler-1011,b,Transit,5.75322197,,,,860.,0.91,2016-05-10,
Kepler-654,b,Transit,13.72465129,,,,661.,1.04,2016-05-10,
Kepler-221,d,Transit,10.04156,0.087,,,,0.72,2014-05-14,
Kepler-221,e,Transit,18.369917,0.13,,,,0.72,2014-05-14,
Kepler-221,b,Transit,2.795906,0.037,,,,0.72,2014-05-14,
Kepler-221,c,Transit,5.690586,0.059,,,,0.72,2014-05-14,
Kepler-616,b,Transit,9.99761851,,,,1019.,0.98,2016-05-10,
Kepler-616,c,Transit,90.4113556,,,,1019.,0.98,2016-05-10,
Kepler-1557,b,Transit,3.74032496,,,,1532.,1.11,2016-05-10,
Kepler-655,b,Transit,46.4063358,,,,783.,1.15,2016-05-10,
Kepler-409,b,Transit,68.9584,,,,,0.92,2016-10-13,
Kepler-148,b,Transit,1.729366,0.028,,,,,2014-05-14,
Kepler-148,c,Transit,4.180043,0.05,,,,,2014-05-14,
Kepler-148,d,Transit,51.84688575,,,,,,2016-05-10,
KOI-13,b,Transit,1.763588,0.03641,0.00064,9.28,,1.72,2015-10-15,
Kepler-898,b,Transit,5.8706191,,,,479.,0.65,2016-05-10,
Kepler-990,c,Transit,0.53835431,,,,933.,1.05,2016-05-10,
Kepler-990,b,Transit,9.91723428,,,,933.,1.05,2016-05-10,
Kepler-220,d,Transit,28.122397,0.163,,,,,2014-05-14,
Kepler-220,b,Transit,4.159807,0.046,,,,,2014-05-14,
Kepler-220,e,Transit,45.902733,0.226,,,,,2014-05-14,
Kepler-220,c,Transit,9.034199,0.076,,,,,2014-05-14,
Kepler-178,b,Transit,9.576694,0.085,,,,,2014-05-14,
Kepler-178,c,Transit,20.552802,0.142,,,,,2014-05-14,
Kepler-178,d,Transit,96.678988,0.397,,,,,2014-05-14,
Kepler-1056,b,Transit,27.495606,,,,971.,1.12,2016-05-10,
Kepler-1336,c,Transit,5.77721211,,,,822.,0.94,2016-05-10,
Kepler-1336,b,Transit,23.198681,,,,822.,0.94,2016-05-10,
Kepler-1361,b,Transit,3.57554956,,,,404.,0.83,2016-05-10,
Kepler-1558,b,Transit,3.50470358,,,,343.,0.83,2016-05-10,
Kepler-47,b,Transit,49.532,0.2962,0.035,2.,1500.,1.05,2014-05-14,
Kepler-47,c,Transit,303.137,0.991,0.411,28.,1500.,1.05,2014-05-14,
Kepler-1620,b,Transit,101.951829,,,,773.,1.15,2016-05-10,
Kepler-1509,b,Transit,25.4338197,,,,1277.,1.,2016-05-10,
Kepler-222,b,Transit,3.936981,0.048,,,,,2014-05-14,
Kepler-222,d,Transit,28.081912,0.18,,,,,2014-05-14,
Kepler-222,c,Transit,10.08881,0.091,,,,,2014-05-14,
Kepler-894,b,Transit,9.803224,,,,1090.,0.87,2016-05-10,
Kepler-1344,b,Transit,4.7683049,,,,851.,1.09,2016-05-10,
Kepler-1306,b,Transit,16.29595382,,,,1130.,0.98,2016-05-10,
Kepler-1140,b,Transit,24.0862707,,,,657.,0.76,2016-05-10,
Kepler-902,b,Transit,40.1099547,,,,904.,0.95,2016-05-10,
Kepler-490,b,Transit,3.26869515,,,,1249.,1.08,2016-05-10,
WASP-113,b,Transit,4.54216875,0.05885,0.,0.475,360.,1.32,2016-07-18,
Kepler-309,b,Transit,5.923653,0.059,,,,,2014-05-14,
Kepler-309,c,Transit,105.356383,0.401,,,,,2014-05-14,
Kepler-87,c,Transit,191.2318,0.676,0.039,0.02,,1.1,2014-05-14,
Kepler-87,b,Transit,114.73635,0.481,0.036,1.02,,1.1,2014-05-14,
Kepler-1184,b,Transit,53.5991044,,,,1193.,1.05,2016-05-10,
Kepler-1228,b,Transit,0.57736958,,,,547.,0.78,2016-05-10,
Kepler-1259,b,Transit,0.66308526,,,,704.,0.8,2016-05-10,
Kepler-1022,b,Transit,10.99469878,,,,455.,0.71,2016-05-10,
Kepler-938,b,Transit,52.6298417,,,,861.,0.92,2016-05-10,
KIC 10001893,b,Orbital Brightness Modulation,0.2197,,,,,,2014-10-03,
KIC 10001893,d,Orbital Brightness Modulation,0.81161,,,,,,2014-10-03,
KIC 10001893,c,Orbital Brightness Modulation,0.32528,,,,,,2014-10-03,
HD 141399,b,Radial Velocity,94.44,0.415,0.04,0.451,36.2,1.07,2016-02-25,27.65
HD 141399,e,Radial Velocity,5000.,5.,0.26,0.66,36.2,1.07,2016-02-25,27.65
HD 141399,d,Radial Velocity,1069.8,2.09,0.074,1.18,36.2,1.07,2016-02-25,27.65
HD 141399,c,Radial Velocity,201.99,0.689,0.048,1.33,36.2,1.07,2016-02-25,27.65
Kepler-310,c,Transit,56.47542,0.281,,,,0.85,2014-05-14,
Kepler-310,d,Transit,92.876125,0.392,,,,0.85,2014-05-14,
Kepler-310,b,Transit,13.930698,0.111,,,,0.85,2014-05-14,
Kepler-163,b,Transit,7.810937,0.078,,,,0.96,2014-05-14,
Kepler-163,c,Transit,21.347262,0.152,,,,0.96,2014-05-14,
Kepler-1229,b,Transit,86.828989,,,,236.,0.54,2016-05-10,
Kepler-1046,b,Transit,14.37508035,,,,518.,1.04,2016-05-10,
Kepler-900,b,Transit,6.9913086,,,,505.,0.78,2016-05-10,
HAT-P-44,b,Transit,4.301219,0.0507,0.044,0.352,363.,0.94,2014-05-14,
HAT-P-44,c,Radial Velocity,872.2,1.752,0.494,4.,363.,0.94,2014-05-14,
Kepler-1583,b,Transit,9.32807355,,,,357.,0.94,2016-05-10,
Kepler-1297,b,Transit,1.68189002,,,,996.,0.99,2016-05-10,
Kepler-939,b,Transit,14.878296,,,,1029.,0.88,2016-05-10,
Kepler-1543,b,Transit,6.96710269,,,,1114.,1.39,2016-05-10,
Kepler-1287,b,Transit,11.47685909,,,,1027.,0.96,2016-05-10,
Kepler-1443,b,Transit,2.41811321,,,,475.,1.19,2016-05-10,
Kepler-1397,b,Transit,47.449955,,,,770.,1.09,2016-05-10,
Kepler-1265,b,Transit,6.49441289,,,,581.,0.71,2016-05-10,
HD 154345,b,Radial Velocity,3342.,4.19,0.044,0.947,18.06,,2014-05-14,55.37
Kepler-311,c,Transit,19.738286,0.145,,,,1.06,2014-05-14,
Kepler-311,b,Transit,9.176092,0.087,,,,1.06,2014-05-14,
Kepler-1000,b,Transit,120.0181272,,,,925.,1.4,2016-05-10,
Kepler-1186,b,Transit,16.07677615,,,,1112.,0.95,2016-05-10,
Kepler-1092,b,Transit,58.6017925,,,,914.,0.99,2016-05-10,
Kepler-334,c,Transit,12.758005,0.107,,,,1.,2014-05-14,
Kepler-334,b,Transit,5.470319,0.061,,,,1.,2014-05-14,
Kepler-334,d,Transit,25.09849,0.168,,,,1.,2014-05-14,
Kepler-765,b,Transit,27.6655226,,,,1000.,1.05,2016-05-10,
Kepler-763,b,Transit,1.19655156,,,,902.,0.84,2016-05-10,
Kepler-267,d,Transit,28.464515,0.154,,,,0.56,2014-05-14,
Kepler-267,b,Transit,3.353728,0.037,,,,0.56,2014-05-14,
Kepler-267,c,Transit,6.87745,0.06,,,,0.56,2014-05-14,
Kepler-337,b,Transit,3.292781,0.045,,,,0.96,2014-05-14,
Kepler-337,c,Transit,9.693201,0.093,,,,0.96,2014-05-14,
Kepler-764,b,Transit,7.33683936,,,,1013.,0.92,2016-05-10,
Kepler-1037,b,Transit,1.06378867,,,,451.,0.82,2016-05-10,
Kepler-1388,b,Transit,12.2854603,,,,492.,0.63,2016-05-10,
Kepler-1388,e,Transit,37.6327084,,,,492.,0.63,2016-05-10,
Kepler-1388,d,Transit,20.9568158,,,,492.,0.63,2016-05-10,
Kepler-1388,c,Transit,5.53608151,,,,492.,0.63,2016-05-10,
Kepler-744,b,Transit,12.06222443,,,,486.,0.94,2016-05-10,
Kepler-565,b,Transit,4.24374723,,,,1041.,0.98,2016-05-10,
Kepler-1019,b,Transit,1.41122985,,,,198.,0.7,2016-05-10,
Kepler-102,f,Transit,27.4536,,,,,0.81,2016-10-13,
Kepler-102,c,Transit,7.07142,,,,,0.81,2016-10-13,
Kepler-102,e,Transit,16.1457,,,0.028,,0.81,2014-05-14,
Kepler-102,d,Transit,10.3117,,,0.012,,0.81,2014-05-14,
Kepler-102,b,Transit,5.28696,,,,,0.81,2016-10-13,
Kepler-941,b,Transit,17.42395198,,,,1105.,0.89,2016-05-10,
Kepler-989,b,Transit,7.96431535,,,,484.,0.82,2016-05-10,
Kepler-1199,b,Transit,15.0447198,,,,540.,0.94,2016-05-10,
Kepler-1144,b,Transit,17.14647302,,,,1012.,0.98,2016-05-10,
Kepler-549,c,Transit,117.040498,,,,648.,0.88,2016-05-10,
Kepler-549,b,Transit,42.9495649,,,,648.,0.88,2016-05-10,
Kepler-940,b,Transit,59.6225257,,,,1317.,0.97,2016-05-10,
Kepler-223,d,Transit,14.78869,,0.037,0.02517,,1.12,2016-08-04,
Kepler-223,e,Transit,19.72567,,0.051,0.0151,,1.12,2016-08-04,
Kepler-223,b,Transit,7.38449,,0.078,0.02328,,1.12,2016-08-04,
Kepler-223,c,Transit,9.84564,,0.15,0.01605,,1.12,2016-08-04,
Kepler-657,b,Transit,24.54350418,,,,1244.,1.01,2016-05-10,
Kepler-762,b,Transit,3.7705521,,,,1465.,1.06,2016-05-10,
Kepler-14,b,Transit,6.790123,,0.035,8.4,980.,1.51,2014-05-14,
HAT-P-13,b,Transit,2.91625,,0.0133,0.851,214.,1.22,2014-10-15,
HAT-P-13,c,Radial Velocity,446.27,,0.6616,14.28,214.,1.22,2014-05-16,
Kepler-224,b,Transit,3.132924,0.038,,,,0.74,2014-05-14,
Kepler-224,d,Transit,11.349393,0.089,,,,0.74,2014-05-14,
Kepler-224,c,Transit,5.925003,0.058,,,,0.74,2014-05-14,
Kepler-224,e,Transit,18.643577,0.124,,,,0.74,2014-05-14,
Kepler-525,b,Transit,18.68404933,,,,566.,0.95,2016-05-10,
Kepler-1219,b,Transit,16.10467749,,,,622.,1.25,2016-05-10,
Kepler-656,b,Transit,1.26025909,,,,867.,0.86,2016-05-10,
Kepler-526,b,Transit,5.45849832,,,,504.,1.15,2016-05-10,
Kepler-364,c,Transit,59.980627,0.312,,,,1.2,2014-05-14,
Kepler-364,b,Transit,25.745718,0.178,,,,1.2,2014-05-14,
Kepler-587,b,Transit,10.94027841,,,,852.,0.92,2016-05-10,
Kepler-527,b,Transit,13.28535633,,,,901.,1.28,2016-05-10,
Kepler-994,b,Transit,1.15116651,,,,170.,0.56,2016-05-10,
Kepler-332,b,Transit,7.626324,0.07,,,,0.8,2014-05-14,
Kepler-332,d,Transit,34.21154,0.189,,,,0.8,2014-05-14,
Kepler-332,c,Transit,15.995622,0.114,,,,0.8,2014-05-14,
Kepler-781,b,Transit,13.2140732,,,,1036.,0.81,2016-05-10,
Kepler-1146,b,Transit,2.3522658,,,,694.,0.74,2016-05-10,
Kepler-784,b,Transit,31.5922646,,,,604.,1.,2016-05-10,
Kepler-1168,b,Transit,55.8226539,,,,911.,0.87,2016-05-10,
Kepler-225,b,Transit,6.738975,0.056,,,,,2014-05-14,
Kepler-225,c,Transit,18.794234,0.111,,,,,2014-05-14,
Kepler-1545,b,Transit,163.692349,,,,688.,0.84,2016-05-10,
Kepler-1075,b,Transit,1.52372816,,,,265.,0.56,2016-05-10,
Kepler-623,b,Transit,9.07097734,,,,811.,0.9,2016-05-10,
Kepler-783,b,Transit,4.29264638,,,,544.,0.93,2016-05-10,
Kepler-1605,b,Transit,85.7565495,,,,224.,0.86,2016-05-10,
Kepler-29,b,Transit,10.3384,,,0.01419,1400.,0.98,2016-04-07,
Kepler-29,c,Transit,13.2884,,,0.01259,1400.,0.98,2016-04-07,
Kepler-94,c,Radial Velocity,820.3,,,9.836,,0.81,2014-05-14,
Kepler-94,b,Transit,2.50806,,,0.034,,0.81,2014-05-14,
Kepler-659,b,Transit,17.671796,,,,688.,0.79,2016-05-10,
Kepler-617,b,Transit,1.68269615,,,,150.,0.51,2016-05-10,
Kepler-40,b,Transit,6.87349,0.08,0.,2.2,2700.,1.48,2014-05-14,
Kepler-362,b,Transit,10.327186,0.087,,,,0.77,2014-05-14,
Kepler-362,c,Transit,37.866281,0.207,,,,0.77,2014-05-14,
Kepler-1371,c,Transit,2.00541269,,,,450.,0.87,2016-05-10,
Kepler-1371,b,Transit,3.4462039,,,,450.,0.87,2016-05-10,
Kepler-1043,b,Transit,38.5053398,,,,838.,0.92,2016-05-10,
Kepler-1577,b,Transit,6.30560247,,,,543.,0.78,2016-05-10,
Kepler-511,b,Transit,296.637865,,,,448.,1.,2016-05-10,
Kepler-658,b,Transit,1.28707676,,,,341.,0.63,2016-05-10,
Kepler-272,b,Transit,2.971353,0.038,,,,0.79,2014-05-14,
Kepler-272,d,Transit,10.937304,0.091,,,,0.79,2014-05-14,
Kepler-272,c,Transit,6.057342,0.061,,,,0.79,2014-05-14,
Kepler-125,b,Transit,4.164389,0.041,,,,0.55,2014-05-14,
Kepler-125,c,Transit,5.774464,0.051,,,,0.55,2014-05-14,
Kepler-164,c,Transit,10.945723,0.097,,,,1.11,2014-05-14,
Kepler-164,d,Transit,28.986769,0.187,,,,1.11,2014-05-14,
Kepler-164,b,Transit,5.03503,0.058,,,,1.11,2014-05-14,
Kepler-1253,b,Transit,68.8861915,,,,390.,0.97,2016-05-10,
Kepler-992,b,Transit,20.16034462,,,,268.,0.8,2016-05-10,
Kepler-981,b,Transit,4.46975774,,,,913.,0.98,2016-05-10,
Kepler-1395,b,Transit,3.78470649,,,,507.,1.17,2016-05-10,
Kepler-1284,b,Transit,0.66407381,,,,852.,0.84,2016-05-10,
Kepler-588,b,Transit,4.22162536,,,,972.,1.01,2016-05-10,
Kepler-1167,b,Transit,1.00393374,,,,811.,0.79,2016-05-10,
Kepler-273,b,Transit,2.936532,0.037,,,,,2014-05-14,
Kepler-273,c,Transit,8.014927,0.073,,,,,2014-05-14,
Kepler-660,b,Transit,9.27358194,,,,564.,0.75,2016-05-10,
Kepler-1141,b,Transit,2.34451194,,,,365.,1.01,2016-05-10,
Kepler-284,c,Transit,37.514456,0.213,,,,,2014-05-14,
Kepler-284,b,Transit,12.699149,0.104,,,,,2014-05-14,
Kepler-141,b,Transit,3.107675,0.039,,,,1.,2014-05-14,
Kepler-141,c,Transit,7.010606,0.067,,,,1.,2014-05-14,
Kepler-528,b,Transit,19.78297415,,,,711.,1.01,2016-05-10,
Kepler-1112,b,Transit,14.36267939,,,,1734.,1.34,2016-05-10,
Kepler-589,b,Transit,16.54964934,,,,643.,0.88,2016-05-10,
Kepler-782,b,Transit,158.6853308,,,,412.,0.98,2016-05-10,
Kepler-179,c,Transit,6.40013,0.064,,,,,2014-05-14,
Kepler-179,b,Transit,2.735926,0.036,,,,,2014-05-14,
KIC 10525077,b,Transit,854.083,,,,,1.01,2016-01-05,
Kepler-1049,b,Transit,3.27346074,,,,129.,0.51,2016-05-10,
Kepler-1578,b,Transit,1.45088691,,,,1016.,0.9,2016-05-10,
Kepler-165,c,Transit,15.31299,0.11,,,,,2014-05-14,
Kepler-165,b,Transit,8.180848,0.072,,,,,2014-05-14,
Kepler-1179,b,Transit,2.68505749,,,,454.,0.84,2016-05-10,
Kepler-566,b,Transit,18.42794624,,,,628.,0.83,2016-05-10,
Kepler-17,b,Transit,1.4857108,0.02591,0.011,2.45,800.,1.16,2014-05-14,
Kepler-1622,b,Transit,10.8118737,,,,927.,1.31,2016-05-10,
Kepler-811,b,Transit,23.58447697,,,,847.,1.01,2016-05-10,
Kepler-283,c,Transit,92.743711,0.341,,,,,2014-05-14,
Kepler-283,b,Transit,11.008151,0.082,,,,,2014-05-14,
Kepler-129,c,Transit,82.20017,0.393,,,,1.18,2014-05-14,
Kepler-129,b,Transit,15.79186,0.131,,,,1.18,2014-05-14,
2MASS J22362452+4751425,b,Imaging,,230.,,12.5,74.,0.6,2016-11-10,
Kepler-661,b,Transit,6.02930132,,,,558.,0.7,2016-05-10,
Kepler-550,b,Transit,8.60010411,,,,563.,0.87,2016-05-10,
Kepler-194,d,Transit,52.814973,0.275,,,,,2014-05-14,
Kepler-194,c,Transit,17.308032,0.131,,,,,2014-05-14,
Kepler-194,b,Transit,2.092281,0.032,,,,,2014-05-14,
Kepler-1415,b,Transit,0.63642408,,,,1066.,0.89,2016-05-10,
Kepler-1568,b,Transit,20.925392,,,,883.,1.09,2016-05-10,
Kepler-1151,b,Transit,65.6478424,,,,763.,0.88,2016-05-10,
Kepler-1367,b,Transit,1.57409027,,,,357.,0.62,2016-05-10,
Kepler-529,c,Transit,12.8345022,,,,787.,1.07,2016-05-10,
Kepler-529,b,Transit,1.98035766,,,,787.,1.07,2016-05-10,
Kepler-226,c,Transit,5.349555,0.058,,,,0.86,2014-05-14,
Kepler-226,b,Transit,3.940997,0.047,,,,0.86,2014-05-14,
Kepler-226,d,Transit,8.109044,0.076,,,,0.86,2014-05-14,
Kepler-815,b,Transit,8.57503552,,,,1199.,1.25,2016-05-10,
Kepler-22,b,Transit,289.8623,0.849,0.,0.113,190.,0.97,2014-05-14,
Kepler-1121,b,Transit,13.15141081,,,,529.,1.29,2016-05-10,
Kepler-369,c,Transit,14.871572,0.094,,,,0.54,2014-05-14,
Kepler-369,b,Transit,2.732756,0.03,,,,0.54,2014-05-14,
Kepler-662,b,Transit,21.67697486,,,,641.,0.79,2016-05-10,
Kepler-969,c,Transit,1.6829346,,,,411.,0.92,2016-05-10,
Kepler-969,b,Transit,34.1731714,,,,411.,0.92,2016-05-10,
Kepler-954,b,Transit,16.78176602,,,,224.,0.82,2016-05-10,
Kepler-663,b,Transit,4.99678284,,,,1030.,0.86,2016-05-10,
Kepler-1189,b,Transit,3.78858982,,,,883.,1.11,2016-05-10,
Kepler-1453,b,Transit,47.1611696,,,,1284.,0.97,2016-05-10,
Kepler-917,b,Transit,2.97041437,,,,1027.,0.8,2016-05-10,
Kepler-1594,b,Transit,2.71603809,,,,1100.,1.06,2016-05-10,
Kepler-195,c,Transit,34.096863,0.197,,,,,2014-05-14,
Kepler-195,b,Transit,8.307872,0.077,,,,,2014-05-14,
HAT-P-7,b,Transit,2.2047372,0.03676,0.0016,1.682,320.,1.47,2016-08-18,
Kepler-1069,b,Transit,23.8990296,,,,435.,0.99,2016-05-10,
Kepler-1588,b,Transit,7.84931739,,,,658.,0.96,2016-05-10,
Kepler-1191,b,Transit,5.60014851,,,,876.,0.85,2016-05-10,
Kepler-1590,b,Transit,7.61760804,,,,900.,1.11,2016-05-10,
Kepler-809,b,Transit,55.63934,,,,933.,0.99,2016-05-10,
HAT-P-3,b,Transit,2.899736,0.03866,0.,0.591,138.,0.92,2014-05-14,
Kepler-1541,b,Transit,8.40691199,,,,414.,0.86,2016-05-10,
Kepler-1644,b,Transit,21.0907758,,,,592.,0.89,2016-05-10,
Kepler-117,c,Transit,50.790391,0.2804,0.0323,1.84,1430.,1.13,2014-11-19,
Kepler-117,b,Transit,18.7959228,0.1445,0.0493,0.094,1430.,1.13,2014-11-19,
Kepler-551,b,Transit,12.3764661,,,,312.,0.65,2016-05-10,
Kepler-618,b,Transit,3.59576964,,,,1115.,1.05,2016-05-10,
Kepler-285,b,Transit,2.633867,0.036,,,,0.85,2014-05-14,
Kepler-285,c,Transit,6.186676,0.064,,,,0.85,2014-05-14,
Kepler-1102,b,Transit,51.3285623,,,,986.,0.96,2016-05-10,
HAT-P-11,b,Transit,4.8878162,0.053,0.198,0.081,38.,0.81,2014-05-14,
Kepler-810,b,Transit,4.59725385,,,,1554.,1.03,2016-05-10,
Kepler-375,c,Transit,19.986326,0.141,,,,0.89,2014-05-14,
Kepler-375,b,Transit,12.125934,0.101,,,,0.89,2014-05-14,
Kepler-482,b,Transit,56.35418576,,,,290.,0.75,2016-05-10,
Kepler-807,b,Transit,117.93108781,,,,1312.,1.04,2016-05-10,
Kepler-1040,b,Transit,201.1214,,,,473.,0.98,2016-05-10,
Kepler-227,c,Transit,54.418694,0.29,,,,,2014-05-14,
Kepler-227,b,Transit,9.488015,0.09,,,,,2014-05-14,
Kepler-1637,b,Transit,6.10960324,,,,506.,1.02,2016-05-10,
Kepler-1530,c,Transit,5.3227406,,,,552.,0.92,2016-05-10,
Kepler-1530,b,Transit,2.5904434,,,,552.,0.92,2016-05-10,
Kepler-1515,b,Transit,214.3114164,,,,504.,1.3,2016-05-10,
Kepler-1215,b,Transit,4.76703963,,,,701.,0.95,2016-05-10,
Kepler-812,b,Transit,10.11716531,,,,1482.,1.45,2016-05-10,
Kepler-107,e,Transit,14.749049,0.123,,,,,2014-05-14,
Kepler-107,c,Transit,4.901425,0.059,,,,,2014-05-14,
Kepler-107,d,Transit,7.958203,0.082,,,,,2014-05-14,
Kepler-107,b,Transit,3.179997,0.044,,,,,2014-05-14,
Kepler-1210,b,Transit,8.07124073,,,,1155.,0.94,2016-05-10,
Kepler-228,c,Transit,4.134444,0.052,,,,,2014-05-14,
Kepler-228,b,Transit,2.566546,0.038,,,,,2014-05-14,
Kepler-228,d,Transit,11.094286,0.101,,,,,2014-05-14,
Kepler-664,b,Transit,2.52559332,,,,1386.,1.01,2016-05-10,
Kepler-590,b,Transit,5.85296257,,,,986.,1.1,2016-05-10,
Kepler-6,b,Transit,3.2346996,0.04852,,0.668,,1.21,2015-10-15,
Kepler-552,b,Transit,5.26341577,,,,834.,1.03,2016-05-10,
Kepler-414,b,Transit Timing Variations,4.7,,,0.011,,0.89,2014-05-28,
Kepler-414,c,Transit Timing Variations,7.171,,,0.094,,0.89,2014-05-28,
Kepler-1390,b,Transit,6.48021673,,,,760.,0.98,2016-05-10,
Kepler-1084,b,Transit,2.05333679,,,,427.,1.12,2016-05-10,
Kepler-153,b,Transit,18.870227,0.129,,,,,2014-05-14,
Kepler-153,c,Transit,46.90232,0.237,,,,,2014-05-14,
Kepler-1510,b,Transit,84.703921,,,,1615.,1.19,2016-05-10,
Kepler-918,b,Transit,4.85386933,,,,1245.,1.11,2016-05-10,
Kepler-1329,b,Transit,9.33646594,,,,624.,0.72,2016-05-10,
Kepler-1099,b,Transit,2.16845259,,,,1209.,1.01,2016-05-10,
Kepler-358,b,Transit,34.060467,0.21,,,,0.95,2014-05-14,
Kepler-358,c,Transit,83.488369,0.381,,,,0.95,2014-05-14,
Kepler-432,b,Transit,52.501129,0.301,0.5134,5.41,870.,1.32,2015-04-30,
Kepler-432,c,Radial Velocity,406.2,,0.498,2.43,870.,1.32,2015-04-30,
Kepler-286,c,Transit,3.468095,0.042,,,,,2014-05-14,
Kepler-286,e,Transit,29.221289,0.176,,,,,2014-05-14,
Kepler-286,d,Transit,5.914323,0.061,,,,,2014-05-14,
Kepler-286,b,Transit,1.796302,0.027,,,,,2014-05-14,
Kepler-567,b,Transit,16.54297375,,,,568.,0.84,2016-05-10,
Kepler-1138,b,Transit,3.17060005,,,,1101.,0.95,2016-05-10,
Kepler-1440,b,Transit,39.859484,,,,685.,0.98,2016-05-10,
Kepler-133,c,Transit,31.517586,0.204,,,,,2014-05-14,
Kepler-133,b,Transit,8.129976,0.083,,,,,2014-05-14,
Kepler-553,b,Transit,4.03046804,,,,725.,0.92,2016-05-10,
Kepler-553,c,Transit,328.2399546,,,,725.,0.92,2016-05-10,
Kepler-1293,b,Transit,5.57654784,,,,770.,1.18,2016-05-10,
