# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Apr 26 12:47:48 2016
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [AU]
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_bmassj:      Planet Mass or M*sin(i)[Jupiter mass]
# COLUMN st_mass:        Stellar Mass [Solar mass]
#
rowid,pl_hostname,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmassj,st_mass
405,HD 197037,1035.70000000,2.070000,0.220000,0.79000,
406,HD 19994,466.20000000,1.305000,0.063000,1.37000,1.37
407,HD 200964,613.80000000,1.601000,0.040000,1.85000,1.44
408,HD 200964,825.00000000,1.950000,0.181000,0.89500,1.44
409,HD 202206,255.87000000,0.830000,0.435000,17.40000,1.15
410,HD 202206,1383.40000000,2.550000,0.267000,2.44000,1.15
411,HD 203030,,487.100000,,24.09000,
412,HD 2039,1120.00000000,2.230000,0.715000,6.11000,1.17
413,HD 204313,2024.10000000,3.167000,0.094600,4.28000,1.02
414,HD 204313,34.90500000,0.209900,0.155000,0.05530,1.02
415,HD 204941,1733.00000000,2.560000,0.370000,0.26600,0.74
416,HD 205739,279.80000000,0.896000,0.270000,1.37000,1.22
417,HD 206610,610.00000000,1.680000,0.229000,2.20000,1.56
418,HD 20782,577.90000000,1.359000,0.570000,0.73000,1.00
419,HD 207832,161.97000000,0.570000,0.130000,0.56000,0.94
420,HD 207832,1155.70000000,2.112000,0.270000,0.73000,0.94
421,HD 20794,18.31500000,0.120700,0.000000,0.00850,0.70
422,HD 20794,40.11400000,0.203600,0.000000,0.00760,0.70
423,HD 20794,90.30900000,0.349900,0.000000,0.01500,0.70
424,HD 208487,130.08000000,0.524000,0.240000,0.52000,1.13
425,HD 208527,875.50000000,2.100000,0.080000,9.90000,1.60
426,HD 20868,380.85000000,0.947000,0.750000,1.99000,0.78
427,HD 209458,3.52474859,,,,1.10
428,HD 210277,442.19000000,1.138000,0.476000,1.29000,1.01
429,HD 210702,354.80000000,1.200000,0.094000,1.90000,1.68
430,HD 212301,2.24571500,0.036000,0.000000,0.45000,1.27
431,HD 212771,373.30000000,1.220000,0.111000,2.30000,1.15
432,HD 213240,951.00000000,2.030000,0.450000,4.50000,
433,HD 215497,3.93404000,0.047000,0.160000,0.02000,0.87
434,HD 215497,567.94000000,1.282000,0.490000,0.33000,0.87
435,HD 216435,1311.00000000,2.560000,0.070000,1.26000,1.30
436,HD 216437,1256.00000000,2.320000,0.290000,1.82000,1.15
437,HD 216536,148.60000000,0.609000,0.380000,1.47000,1.36
438,HD 216770,118.45000000,0.460000,0.370000,0.65000,0.90
439,HD 217107,7.12681600,0.074800,0.126700,1.39000,1.02
440,HD 217107,4270.00000000,5.320000,0.517000,2.60000,1.02
441,HD 217786,1319.00000000,2.380000,0.400000,13.00000,1.02
442,HD 218566,225.70000000,0.687300,0.300000,0.21000,0.85
443,HD 219077,5501.00000000,6.220000,0.770000,10.39000,1.05
444,HD 219134,3.09310000,0.038474,0.000000,0.01200,0.79
445,HD 219134,6.76350000,0.064816,0.000000,0.01100,0.79
446,HD 219134,46.71000000,0.235080,0.000000,0.06700,0.79
447,HD 219134,22.80500000,0.145740,0.000000,0.02800,0.79
448,HD 219134,94.20000000,0.375300,0.000000,0.03400,0.79
449,HD 219134,2247.00000000,3.110000,0.060000,0.34000,0.79
450,HD 219415,2093.30000000,3.200000,0.400000,1.00000,1.00
451,HD 219828,3.83350000,,0.000000,0.06000,1.24
452,HD 220074,672.10000000,1.600000,0.140000,11.10000,1.20
453,HD 220689,2209.00000000,3.360000,0.160000,1.06000,1.04
454,HD 220773,3724.70000000,4.940000,0.510000,1.45000,
455,HD 220842,218.47000000,0.740000,0.404000,3.18000,1.13
456,HD 221287,456.10000000,1.250000,0.080000,3.09000,1.25
457,HD 222155,3999.00000000,5.100000,0.160000,1.90000,1.13
458,HD 222582,572.38000000,1.347000,0.725000,7.75000,0.99
459,HD 224693,26.73000000,0.192000,0.050000,0.71000,1.33
460,HD 22781,528.07000000,1.167000,0.819100,13.65000,0.75
461,HD 23079,730.60000000,1.596000,0.102000,2.45000,1.01
462,HD 23127,1214.00000000,2.400000,0.440000,1.50000,1.13
463,HD 231701,141.60000000,0.530000,0.100000,1.08000,1.14
464,HD 233604,192.00000000,0.747000,0.050000,6.57500,1.50
465,HD 23596,1561.00000000,2.772000,0.266000,7.71000,1.16
466,HD 240210,501.75000000,1.160000,0.150000,5.21000,0.82
467,HD 240237,745.70000000,1.900000,0.400000,5.30000,1.69
468,HD 24040,3668.00000000,4.920000,0.040000,4.01000,1.18
469,HD 24064,535.60000000,1.290000,0.350000,9.40000,1.00
470,HD 25171,1845.00000000,3.020000,0.080000,0.95000,1.09
471,HD 2638,3.44420000,0.044000,0.000000,0.48000,0.93
472,HD 27442,428.10000000,1.271000,0.060000,1.56000,1.23
473,HD 27631,2208.00000000,3.250000,0.120000,1.45000,0.94
474,HD 27894,17.99040000,0.125000,0.048600,0.64500,0.80
475,HD 28185,385.90000000,1.032000,0.092000,5.59000,0.98
476,HD 28254,1116.00000000,2.150000,0.810000,1.16000,1.06
477,HD 285507,6.08810000,,0.086000,0.91700,0.73
478,HD 285968,8.78360000,0.066000,0.000000,0.02600,0.45
479,HD 28678,387.10000000,1.250000,0.168000,1.70000,1.74
480,HD 290327,2443.00000000,3.430000,0.080000,2.54000,0.90
481,HD 2952,311.60000000,1.200000,0.129000,1.60000,2.54
482,HD 30177,2770.00000000,3.950000,0.193000,10.45000,1.01
483,HD 30562,1159.20000000,2.315000,0.778000,1.37300,1.23
484,HD 30669,1684.00000000,2.690000,0.180000,0.47000,0.92
485,HD 30856,912.00000000,1.800000,0.117000,1.80000,1.35
486,HD 31253,466.00000000,1.260000,0.300000,0.50000,1.23
487,HD 32518,157.54000000,0.590000,0.010000,3.04000,1.13
488,HD 32963,2372.00000000,3.410000,0.070000,0.70000,0.94
489,HD 330075,3.38773000,0.039000,0.000000,0.62000,0.70
490,HD 33142,326.60000000,1.060000,0.120000,1.30000,1.48
491,HD 33283,18.17900000,0.145000,0.480000,0.33000,1.24
492,HD 33564,388.00000000,1.100000,0.340000,9.10000,1.25
493,HD 33844,551.40000000,1.600000,0.150000,1.96000,1.78
494,HD 33844,916.00000000,2.240000,0.130000,1.75000,1.78
495,HD 34445,1049.00000000,2.070000,0.270000,0.79000,1.07
496,HD 35759,82.46700000,0.389000,0.389000,3.76000,1.15
497,HD 3651,62.21800000,0.295000,0.596000,0.22900,0.88
498,HD 37124,154.46000000,0.530000,0.055000,0.61000,
499,HD 37124,843.60000000,1.640000,0.140000,0.60000,
500,HD 37124,2295.00000000,3.190000,0.200000,0.66000,
501,HD 37605,55.01307000,0.283100,0.676700,2.80200,1.00
502,HD 37605,2720.00000000,3.814000,0.013000,3.36600,1.00
503,HD 38283,363.20000000,1.020000,0.410000,0.34000,1.08
504,HD 38529,14.30980000,0.131000,0.257000,0.83900,1.48
505,HD 38529,2140.20000000,3.712000,0.341000,13.38000,1.48
506,HD 38801,696.30000000,1.700000,0.000000,10.70000,1.36
507,HD 39091,2151.00000000,3.380000,0.640500,10.27000,1.10
508,HD 40307,4.31230000,0.046800,0.200000,0.01260,0.77
509,HD 40307,9.61840000,0.079900,0.060000,0.02080,0.77
510,HD 40307,20.43200000,0.132100,0.070000,0.02990,0.77
511,HD 40307,51.76000000,0.247000,0.020000,0.01640,0.77
512,HD 40307,197.80000000,0.600000,0.290000,0.02230,0.77
513,HD 40979,264.15000000,0.846000,0.252000,4.01000,1.15
514,HD 41004 A,963.00000000,,0.740000,2.54000,0.70
515,HD 41004 B,1.32830000,,0.081000,18.37000,0.40
516,HD 4113,526.62000000,1.280000,0.903000,1.56000,0.99
517,HD 4203,437.05000000,1.173500,0.520000,1.82000,1.13
518,HD 4203,6700.00000000,6.950000,0.240000,2.17000,1.13
519,HD 4208,828.00000000,1.650000,0.052000,0.80400,0.87
520,HD 4308,15.56000000,0.115000,0.000000,0.04420,0.83
521,HD 4313,356.00000000,1.190000,0.041000,2.30000,1.72
522,HD 43197,327.80000000,0.920000,0.830000,0.60000,0.96
523,HD 43691,36.96000000,0.240000,0.140000,2.49000,1.38
524,HD 44219,472.30000000,1.190000,0.610000,0.58000,1.00
525,HD 45350,963.60000000,1.920000,0.778000,1.79000,1.02
526,HD 45364,226.93000000,0.681300,0.168400,0.18720,
527,HD 45364,342.85000000,0.897200,0.097400,0.65790,
528,HD 45652,43.60000000,0.230000,0.380000,0.47000,0.83
529,HD 46375,3.02357300,0.039800,0.063000,0.22600,0.92
530,HD 47186,4.08450000,0.050000,0.038000,0.07167,0.99
531,HD 47186,1353.60000000,2.395000,0.249000,0.35061,0.99
532,HD 4732,360.20000000,1.190000,0.130000,2.37000,1.74
533,HD 4732,2732.00000000,4.600000,0.230000,2.37000,1.74
534,HD 47536,712.13000000,1.930000,0.200000,7.32000,0.91
535,HD 48265,762.00000000,1.600000,0.240000,1.20000,1.22
536,HD 49674,4.94737000,0.058000,0.087000,0.10500,1.06
537,HD 50499,2482.70000000,3.860000,0.230000,1.71000,1.24
538,HD 50554,1293.00000000,2.353000,0.501000,4.95400,1.04
539,HD 52265,119.60000000,0.500000,0.350000,1.05000,1.18
540,HD 5319,641.00000000,1.669700,0.020000,1.76000,1.51
541,HD 5319,886.00000000,2.071000,0.150000,1.15000,1.51
542,HD 5583,139.35000000,0.530000,0.076000,5.78000,1.01
543,HD 5608,792.60000000,1.900000,0.190000,1.40000,1.55
544,HD 564,492.30000000,1.200000,0.096000,0.33000,0.96
545,HD 5891,177.11000000,0.760000,0.066000,7.60000,1.91
546,HD 60532,201.30000000,0.759000,0.280000,1.03000,1.44
547,HD 60532,604.00000000,1.580000,0.020000,2.46000,1.44
548,HD 62509,589.64000000,1.640000,0.020000,2.30000,2.10
549,HD 63454,2.81804900,0.036800,0.000000,0.39800,0.84
550,HD 63765,358.00000000,0.940000,0.240000,0.64000,
551,HD 6434,22.01700000,0.148000,0.146000,0.44000,0.89
552,HD 65216,572.40000000,1.300000,0.000000,1.26000,0.92
553,HD 65216,152.60000000,0.540000,0.020000,0.17000,0.92
554,HD 66141,480.50000000,1.200000,0.070000,6.00000,1.10
555,HD 66428,1973.00000000,3.180000,0.465000,2.82000,1.10
556,HD 67087,352.20000000,1.080000,0.170000,3.06000,1.36
557,HD 67087,2374.00000000,3.860000,0.760000,4.85000,1.36
558,HD 6718,2496.00000000,3.560000,0.100000,1.56000,0.96
559,HD 68988,6.27711000,0.070400,0.124900,1.86000,1.18
560,HD 69830,8.66700000,0.078500,0.100000,0.03210,0.86
561,HD 69830,31.56000000,0.186000,0.130000,0.03710,0.86
562,HD 69830,197.00000000,0.630000,0.070000,0.05700,0.86
563,HD 70573,851.80000000,1.760000,0.400000,6.10000,1.00
564,HD 70642,2068.00000000,3.230000,0.034000,1.97000,1.05
565,HD 7199,615.00000000,1.360000,0.190000,0.29000,0.89
566,HD 72659,3658.00000000,4.740000,0.220000,3.15000,1.06
567,HD 73256,2.54858000,0.037000,0.029000,1.87000,1.05
568,HD 73267,1260.00000000,2.198000,0.256000,3.06000,0.89
569,HD 73526,188.90000000,0.650000,0.290000,2.25000,1.01
570,HD 73526,379.10000000,1.030000,0.280000,2.25000,1.01
571,HD 73534,1770.00000000,3.067000,0.074000,1.10300,1.23
572,HD 74156,51.64500000,0.292000,0.627000,1.80000,1.24
573,HD 74156,2473.00000000,3.850000,0.432000,8.06000,1.24
574,HD 7449,1275.00000000,2.300000,0.820000,1.11000,1.05
575,HD 75289,3.50926700,0.048200,0.034000,0.46700,1.21
576,HD 75784,341.70000000,1.073000,0.130000,1.15000,1.41
577,HD 75898,418.20000000,1.190000,0.100000,2.51000,1.28
578,HD 76700,3.97100000,0.049000,0.000000,0.19700,1.00
579,HD 77338,5.73610000,0.061400,0.090000,0.05000,0.93
580,HD 7924,5.39792000,0.056640,0.058000,0.02731,0.83
581,HD 7924,15.29900000,0.113400,0.098000,0.02473,0.83
582,HD 7924,24.45100000,0.155100,0.210000,0.02026,0.83
583,HD 79498,1966.10000000,3.130000,0.590000,1.34000,
584,HD 80606,111.43570000,0.449000,0.933200,3.94000,0.97
585,HD 81040,1001.70000000,1.940000,0.526000,6.86000,0.96
586,HD 81688,184.02000000,0.810000,0.000000,2.70000,2.10
587,HD 82886,705.00000000,1.650000,0.066000,1.30000,1.06
588,HD 82943,441.47000000,1.183060,0.162000,1.68100,1.20
589,HD 82943,220.07800000,0.743450,0.366300,1.95900,1.20
590,HD 83443,2.98569800,0.040600,0.012000,0.39800,0.90
591,HD 8535,1313.00000000,2.450000,0.150000,0.68000,1.13
592,HD 85390,788.00000000,1.520000,0.410000,0.13200,0.76
593,HD 85512,58.43000000,0.260000,0.110000,0.01100,0.69
594,HD 8574,227.00000000,0.757000,0.297000,1.80000,1.12
595,HD 86081,2.13750000,0.035000,0.008000,1.50000,1.21
596,HD 86226,1695.00000000,2.840000,0.150000,0.92000,1.06
597,HD 86264,1475.00000000,2.860000,0.700000,7.00000,
598,HD 8673,1634.00000000,3.020000,0.723000,14.20000,
599,HD 87883,2754.00000000,3.600000,0.530000,1.78000,
600,HD 88133,3.41587000,0.047200,0.133000,0.29900,1.20
601,HD 89307,2157.00000000,3.270000,0.241000,1.78000,
602,HD 89744,256.78000000,0.918000,0.673000,8.44000,1.56
603,HD 90156,49.77000000,0.250000,0.310000,0.05700,0.84
604,HD 92788,325.00000000,0.960000,0.350000,3.58000,1.10
605,HD 93083,143.58000000,0.477000,0.140000,0.37000,0.70
606,HD 9446,30.05200000,0.189000,0.200000,0.70000,1.00
607,HD 9446,192.90000000,0.654000,0.060000,1.82000,1.00
608,HD 95086,,55.700000,,5.00000,1.60
609,HD 95089,507.00000000,1.510000,0.157000,1.20000,1.58
610,HD 95127,482.00000000,1.280000,0.110000,5.01000,1.20
611,HD 95872,4375.00000000,5.200000,0.060000,4.60000,0.95
612,HD 96063,361.10000000,0.990000,0.030000,0.90000,1.02
613,HD 96127,647.30000000,1.400000,0.300000,4.00000,0.91
614,HD 96167,498.90000000,1.300000,0.710000,0.68000,1.31
615,HD 97658,9.49030000,0.080000,0.078000,0.02400,0.77
616,HD 98219,436.90000000,1.230000,0.112000,1.80000,1.30
617,HD 98649,4951.00000000,5.600000,0.850000,6.80000,1.00
618,HD 99109,439.30000000,1.105000,0.090000,0.50200,0.93
619,HD 99492,17.05400000,0.123000,0.070000,0.07900,0.85
620,HD 99706,868.00000000,2.140000,0.365000,1.40000,1.72
621,HIP 105854,184.20000000,0.810000,0.020000,8.20000,2.10
622,HIP 107773,144.30000000,0.720000,0.090000,1.98000,2.42
623,HIP 109384,499.48000000,1.134000,0.549000,1.56000,0.78
624,HIP 109600,232.08000000,0.706000,0.163000,2.68000,0.87
625,HIP 116454,9.12050000,0.090600,0.205000,0.03700,0.78
626,HIP 12961,57.43500000,0.250000,0.166000,0.35000,
627,HIP 14810,6.67385500,0.069200,0.142700,3.88000,0.99
628,HIP 14810,147.73000000,0.545000,0.164000,1.28000,0.99
629,HIP 14810,952.00000000,1.890000,0.173000,0.57000,0.99
630,HIP 5158,345.72000000,0.890000,0.520000,1.42000,0.78
631,HIP 5158,9017.76000000,7.700000,0.140000,15.04000,0.78
632,HIP 57050,41.39700000,0.163506,0.314000,0.29800,
633,HIP 57274,8.13520000,0.070000,0.187000,0.03650,
634,HIP 57274,32.03000000,0.178000,0.050000,0.40902,
635,HIP 57274,431.70000000,1.010000,0.270000,0.52670,
636,HIP 63242,124.60000000,0.565000,0.230000,9.18000,1.54
637,HIP 65407,28.12500000,0.177000,0.140000,0.42800,0.93
638,HIP 65407,67.30000000,0.316000,0.120000,0.78400,0.93
639,HIP 65891,1084.50000000,2.810000,0.130000,6.00000,2.50
640,HIP 67851,88.90000000,0.460000,0.050000,1.38000,1.63
641,HIP 67851,2131.80000000,3.820000,0.170000,5.98000,1.63
642,HIP 70849,17337.50000000,20.250000,0.715000,9.00000,
643,HIP 74890,822.30000000,2.100000,0.070000,2.40000,1.74
644,HIP 75458,511.09800000,1.275000,0.712400,8.82000,1.05
645,HIP 78530,,740.000000,,23.00000,2.50
646,HIP 79431,111.70000000,0.360000,0.290000,2.10000,
647,HIP 8541,1560.20000000,2.800000,0.160000,5.50000,1.17
648,HIP 91258,5.05050000,0.057000,0.024000,1.06800,0.95
649,HIP 97233,1058.80000000,2.550000,0.610000,20.00000,1.93
650,HN Peg,,773.000000,,21.99870,
651,HR 810,312.00000000,0.910000,0.150000,2.13000,
652,HR 8799,170000.00000000,68.000000,,7.00000,1.51
653,HR 8799,69000.00000000,38.000000,,10.00000,1.51
654,HR 8799,37000.00000000,24.000000,,10.00000,1.51
655,HR 8799,18000.00000000,14.500000,,,1.51
656,K2-10,19.30440000,,0.310000,0.08495,0.92
657,K2-11,39.93767000,0.225700,,,1.35
658,K2-12,8.28212000,0.080200,,,1.01
659,K2-13,39.91488000,0.211400,,,0.80
660,K2-14,8.36802000,0.062700,,,0.47
661,K2-15,11.81040000,0.091000,,,0.72
662,K2-16,7.62067000,0.066200,,,0.67
663,K2-16,19.07536000,0.122000,,,0.67
664,K2-17,17.96753000,0.119000,,,0.71
665,K2-18,32.94488000,0.149100,,,0.41
666,K2-19,7.92110100,0.076200,0.119000,0.13844,0.95
667,K2-19,11.90727000,0.100100,,0.05003,0.95
668,K2-21,9.32414000,0.073100,,,0.64
669,K2-21,15.50120000,0.102600,,,0.64
670,K2-22,0.38107800,0.008800,,1.40000,0.60
671,K2-24,20.88510000,0.154000,0.000000,0.06607,1.12
672,K2-24,42.36330000,0.247000,0.000000,0.08495,1.12
673,K2-25,3.48455200,,0.270000,,0.29
674,K2-26,14.56650000,0.096200,,,0.56
675,K2-27,6.77145000,,0.160000,0.09156,0.89
676,K2-28,2.26045500,0.021400,0.000000,,0.26
677,K2-29,3.25883210,0.042170,0.066000,0.73000,0.94
678,K2-3,10.05429000,0.077500,0.060000,0.02643,0.61
679,K2-3,24.64910000,0.140500,0.040000,0.00661,0.61
680,K2-3,44.57050000,0.208600,0.045000,0.03492,0.61
681,K2-30,4.09850300,0.048390,0.000000,0.57900,0.90
682,K2-4,10.00329000,0.077700,,,0.63
683,K2-5,5.73491000,0.050900,,,0.53
684,K2-5,10.93406000,0.078300,,,0.53
685,K2-6,30.94191000,0.189800,,,0.97
686,K2-7,28.67992000,0.181400,,,0.97
687,K2-8,10.35176000,0.085600,,,0.79
688,K2-9,18.44980000,0.091000,,,0.30
689,KELT-1,1.21751400,0.024660,0.009900,27.23000,1.32
690,KELT-14,1.71005880,0.029560,0.000000,1.19600,1.18
691,KELT-15,3.32944100,0.046130,0.000000,0.91000,1.18
692,KELT-2 A,4.11379120,0.054960,0.000000,1.52200,1.31
693,KELT-3,2.70339040,0.041220,0.000000,1.47700,1.28
694,KELT-4 A,2.98959320,0.043170,0.000000,0.90200,1.20
695,KELT-6,7.84558210,0.080000,0.029000,0.44200,1.13
696,KELT-6,1276.00000000,2.390000,0.210000,3.71000,1.13
697,KELT-7,2.73477490,0.044150,0.000000,1.28000,1.53
698,KELT-8,3.24406000,0.045710,0.035000,0.86700,1.21
699,KIC 10001893,0.21970000,,,,
700,KIC 10001893,0.32528000,,,,
701,KIC 10001893,0.81161000,,,,
702,KIC 10525077,854.08300000,,,,1.01
703,KIC 3558849,1322.30000000,,,,0.98
704,KIC 5437945,440.78130000,,,,1.07
705,KIC 5951458,1320.10000000,,,,0.98
706,KIC 8540376,31.80990000,,,,1.04
707,KIC 8540376,75.20000000,,,,1.04
708,KIC 9663113,572.38470000,,,,0.98
709,KOI-12,17.85523330,0.151000,0.720000,10.00000,1.45
710,KOI-13,1.76358800,0.036410,0.000640,9.28000,1.72
711,KOI-142,10.95416000,,0.055930,0.02700,0.96
712,KOI-142,22.33950000,0.155250,0.056280,0.62600,0.96
713,KOI-217,3.90512000,0.047700,0.000000,,0.95
714,KOI-351,7.00815100,0.074000,,,1.20
715,KOI-351,8.71937500,0.089000,,,1.20
716,KOI-351,59.73667000,0.320000,,,1.20
717,KOI-351,91.93913000,0.420000,,,1.20
718,KOI-351,124.91440000,0.480000,,,1.20
719,KOI-351,210.60697000,0.710000,,,1.20
720,KOI-351,331.60059000,1.010000,,,1.20
721,KOI-55,0.24010400,0.006000,,0.00140,0.50
722,KOI-55,0.34288700,0.007600,,0.00210,0.50
723,KOI-94,3.74320800,0.051190,0.250000,0.03300,1.28
724,KOI-94,10.42364800,0.101300,0.430000,0.04900,1.28
725,KOI-94,22.34298900,0.168400,0.022000,0.33400,1.28
726,KOI-94,54.32031000,0.304600,0.019000,0.11000,1.28
727,Kapteyn,121.54000000,0.311000,0.230000,0.02200,0.28
728,Kepler-10,0.83749100,0.017200,,0.01450,0.91
729,Kepler-10,45.29430100,,0.000000,0.05400,0.91
730,Kepler-100,6.88705000,,,0.02300,1.08
731,Kepler-100,12.81590000,,,0.00300,1.08
732,Kepler-100,35.33310000,,,0.00900,1.08
733,Kepler-101,3.48768120,0.047400,0.086000,0.16000,1.17
734,Kepler-101,6.02976000,0.068400,0.000000,0.01000,1.17
735,Kepler-102,5.28696000,,,0.00100,0.81
736,Kepler-102,7.07142000,,,0.00900,0.81
737,Kepler-102,10.31170000,,,0.01200,0.81
738,Kepler-102,16.14570000,,,0.02800,0.81
739,Kepler-102,27.45360000,,,0.00200,0.81
740,Kepler-103,15.96540000,,,0.03100,1.09
741,Kepler-103,179.61200000,,,0.11400,1.09
742,Kepler-104,11.42754800,0.094000,,,0.81
743,Kepler-104,23.66820500,0.153000,,,0.81
744,Kepler-104,51.75539400,0.257000,,,0.81
745,Kepler-105,5.41220000,0.066000,0.470000,,0.96
746,Kepler-105,7.12620000,,,0.01447,0.96
747,Kepler-106,6.16486000,,,0.00050,1.00
748,Kepler-106,13.57080000,,,0.03300,1.00
749,Kepler-106,23.98020000,,,0.02500,1.00
750,Kepler-106,43.84450000,,,0.03500,1.00
751,Kepler-107,3.17999700,0.044000,,,
752,Kepler-107,4.90142500,0.059000,,,
753,Kepler-107,7.95820300,0.082000,,,
754,Kepler-107,14.74904900,0.123000,,,
755,Kepler-108,49.18392100,0.292000,,,0.87
756,Kepler-108,190.32349400,0.721000,,,0.87
757,Kepler-109,6.48163000,,,0.00400,1.04
758,Kepler-109,21.22270000,,,0.00700,1.04
759,Kepler-11,10.30390000,0.091000,0.045000,0.00600,0.96
760,Kepler-11,13.02410000,0.107000,0.026000,0.00900,0.96
761,Kepler-11,22.68450000,0.155000,0.004000,0.02300,0.96
762,Kepler-11,31.99960000,0.195000,0.012000,0.02500,0.96
763,Kepler-11,46.68880000,0.250000,0.013000,0.00600,0.96
764,Kepler-11,118.38070000,0.466000,0.150000,0.07900,0.96
765,Kepler-110,12.69111200,0.107000,,,
766,Kepler-110,31.71977500,0.198000,,,
767,Kepler-111,3.34181500,0.046000,,,
768,Kepler-111,224.78460800,0.761000,,,
769,Kepler-112,8.40887800,0.076000,,,
770,Kepler-112,28.57426300,0.172000,,,
771,Kepler-113,4.75400000,,,0.03700,0.75
772,Kepler-113,8.92507000,,,0.02700,0.75
773,Kepler-114,5.18854900,0.053000,,,0.56
774,Kepler-114,8.04100000,,,0.00900,0.56
775,Kepler-114,11.77600000,,,0.01200,0.56
776,Kepler-115,2.40367900,0.036000,,,1.00
777,Kepler-115,8.99088900,0.087000,,,1.00
778,Kepler-116,5.96873400,0.069000,,,1.16
779,Kepler-116,13.07163000,0.116000,,,1.16
780,Kepler-117,18.79592280,0.144500,0.049300,0.09400,1.13
781,Kepler-117,50.79039100,0.280400,0.032300,1.84000,1.13
782,Kepler-118,7.51849600,0.073000,,,0.86
783,Kepler-118,20.17202000,0.141000,,,0.86
784,Kepler-119,2.42208200,0.035000,,,
785,Kepler-119,4.12510300,0.049000,,,
786,Kepler-12,4.43796290,0.055300,,0.43200,1.17
787,Kepler-120,6.31250100,0.055000,,,
788,Kepler-120,12.79458500,0.088000,,,
789,Kepler-121,3.17742200,0.039000,,,
790,Kepler-121,41.00801100,0.216000,,,
791,Kepler-122,5.76619300,0.064000,,,0.99
792,Kepler-122,12.46598800,0.108000,,,0.99
793,Kepler-122,21.58747500,0.155000,,,0.99
794,Kepler-122,37.99327300,0.227000,,,0.99
795,Kepler-122,56.26800000,,,0.11300,0.99
796,Kepler-123,17.23236600,0.135000,,,1.03
797,Kepler-123,26.69507400,0.181000,,,1.03
798,Kepler-124,3.41049300,0.039000,,,
799,Kepler-124,13.82137500,0.100000,,,
800,Kepler-124,30.95085100,0.170000,,,
801,Kepler-125,4.16438900,0.041000,,,0.55
802,Kepler-125,5.77446400,0.051000,,,0.55
803,Kepler-126,10.49571100,0.099000,,,
804,Kepler-126,21.86974100,0.162000,,,
805,Kepler-126,100.28313400,0.448000,,,
806,Kepler-127,14.43588900,0.125000,,,
807,Kepler-127,29.39319500,0.200000,,,
808,Kepler-127,48.63040800,0.280000,,,
809,Kepler-128,15.09000000,,,0.09700,1.18
810,Kepler-128,22.80400000,,,0.10500,1.18
811,Kepler-129,15.79186000,0.131000,,,1.18
812,Kepler-129,82.20017000,0.393000,,,1.18
813,Kepler-130,8.45745800,0.079000,,,1.00
814,Kepler-130,27.50868000,0.178000,0.000000,,1.00
815,Kepler-130,87.51790500,0.377000,,,1.00
816,Kepler-131,16.09200000,,,0.05100,1.02
817,Kepler-131,25.51690000,,,0.02600,1.02
818,Kepler-132,6.17819600,0.067000,,,
819,Kepler-132,6.41491400,0.068000,,,
820,Kepler-132,18.01019900,0.136000,,,
821,Kepler-133,8.12997600,0.083000,,,
822,Kepler-133,31.51758600,0.204000,,,
823,Kepler-134,5.31742900,0.060000,,,
824,Kepler-134,10.10578500,0.092000,,,
825,Kepler-135,6.00253000,0.067000,,,
826,Kepler-135,11.44870800,0.103000,,,
827,Kepler-136,11.57890000,0.106000,,,1.20
828,Kepler-136,16.39923500,0.133000,,,1.20
829,Kepler-137,8.43638700,0.077000,,,
830,Kepler-137,18.73575300,0.130000,,,
831,Kepler-138,10.31260000,,,0.00021,0.52
832,Kepler-138,13.78130000,,,0.00620,0.52
833,Kepler-138,23.08810000,,,0.00201,0.52
834,Kepler-139,15.77104400,0.127000,,,1.08
835,Kepler-139,157.07287800,0.586000,,,1.08
836,Kepler-14,6.79012300,,0.035000,8.40000,1.51
837,Kepler-140,3.25427000,0.045000,,,
838,Kepler-140,91.35328200,0.414000,,,
839,Kepler-141,3.10767500,0.039000,,,1.00
840,Kepler-141,7.01060600,0.067000,,,1.00
841,Kepler-142,2.02415200,0.032000,,,0.99
842,Kepler-142,4.76170200,0.057000,,,0.99
843,Kepler-142,41.80911800,0.242000,,,0.99
844,Kepler-143,16.00758300,0.127000,,,
845,Kepler-143,27.08251100,0.181000,,,
846,Kepler-144,5.88527300,0.066000,,,1.03
847,Kepler-144,10.10466500,0.094000,,,1.03
848,Kepler-145,22.95100000,,,0.11700,1.32
849,Kepler-145,42.88200000,,,0.25000,1.32
850,Kepler-146,31.15879900,0.200000,,,
851,Kepler-146,76.73217100,0.364000,,,
852,Kepler-147,12.61058400,0.113000,,,1.01
853,Kepler-147,33.41642300,0.216000,,,1.01
854,Kepler-148,1.72936600,0.028000,,,
855,Kepler-148,4.18004300,0.050000,,,
856,Kepler-149,29.19894300,0.184000,,,
857,Kepler-149,55.32832800,0.281000,,,
858,Kepler-149,160.01803200,0.571000,,,
859,Kepler-15,4.94278200,0.057140,0.060000,0.66000,1.02
860,Kepler-150,3.42805400,0.044000,,,
861,Kepler-150,7.38199800,0.073000,,,
862,Kepler-150,12.56093000,0.104000,,,
863,Kepler-150,30.82655700,0.189000,,,
