# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Apr 29 06:57:43 2016
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [AU]
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_bmassj:      Planet Mass or M*sin(i)[Jupiter mass]
# COLUMN st_dist:        Distance [pc]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN pl_name:        Planet Name
# COLUMN pl_massj:       Planet Mass [Jupiter mass]
#
rowid,pl_hostname,pl_letter,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmassj,st_dist,st_mass,pl_name,pl_massj
258,HD 11755,b,433.70000000,1.080000,0.190000,6.50000,231.50,0.90,HD 11755 b,
259,HD 117618,b,25.82700000,0.176000,0.420000,0.17800,38.02,1.08,HD 117618 b,
260,HD 118203,b,6.13350000,0.070000,0.309000,2.13000,88.57,1.23,HD 118203 b,
261,HD 11964,b,1945.00000000,3.160000,0.041000,0.62200,33.98,1.12,HD 11964 b,
262,HD 11964,c,37.91000000,0.229000,0.300000,0.07880,33.98,1.12,HD 11964 c,
263,HD 11977,b,711.00000000,1.930000,0.400000,6.54000,66.49,1.91,HD 11977 b,
264,HD 120084,b,2082.00000000,4.300000,0.660000,4.50000,97.66,2.39,HD 120084 b,
265,HD 121504,b,63.33000000,0.330000,0.030000,1.22000,44.37,1.18,HD 121504 b,
266,HD 12484,b,58.83000000,0.297000,0.070000,2.98000,51.10,1.01,HD 12484 b,
267,HD 125595,b,9.67370000,0.080900,0.000000,0.04100,27.45,,HD 125595 b,
268,HD 125612,b,559.40000000,1.370000,0.460000,3.00000,52.83,1.09,HD 125612 b,
269,HD 125612,c,4.15470000,0.050000,0.270000,0.05800,52.83,1.09,HD 125612 c,
270,HD 125612,d,3008.00000000,4.200000,0.280000,7.20000,52.83,1.09,HD 125612 d,
271,HD 12648,b,133.60000000,0.540000,0.040000,2.90000,158.40,1.20,HD 12648 b,
272,HD 12661,b,262.70900000,0.807900,0.376800,2.17600,37.16,1.02,HD 12661 b,
273,HD 12661,c,1708.00000000,2.814500,0.031000,1.81200,37.16,1.02,HD 12661 c,
274,HD 126614,b,1244.00000000,2.350000,0.410000,0.38000,68.35,1.15,HD 126614 b,
275,HD 128311,b,453.01900000,1.084000,0.303000,1.76900,,0.83,HD 128311 b,
276,HD 128311,c,921.53800000,1.740000,0.159000,3.78900,,0.83,HD 128311 c,3.78900
277,HD 129445,b,1840.00000000,2.900000,0.700000,1.60000,67.61,,HD 129445 b,
278,HD 130322,b,10.70871000,0.092500,0.029000,1.15000,29.76,0.92,HD 130322 b,
279,HD 131496,b,883.00000000,2.090000,0.163000,2.20000,121.36,1.61,HD 131496 b,
280,HD 131664,b,1951.00000000,3.170000,0.638000,18.15000,57.21,1.10,HD 131664 b,
281,HD 13189,b,471.60000000,1.850000,0.270000,14.00000,300.30,,HD 13189 b,
282,HD 132406,b,974.00000000,1.980000,0.340000,5.61000,70.97,,HD 132406 b,
283,HD 132563,b,1544.00000000,2.620000,0.220000,1.49000,98.52,,HD 132563 b,
284,HD 134987,b,258.19000000,0.810000,0.233000,1.59000,22.20,1.10,HD 134987 b,
285,HD 134987,c,5000.00000000,5.800000,0.120000,0.82000,22.20,1.10,HD 134987 c,
286,HD 136418,b,464.30000000,1.320000,0.255000,2.00000,106.38,1.33,HD 136418 b,
287,HD 137388 A,b,330.00000000,0.890000,0.360000,0.22300,38.45,0.86,HD 137388 A b,
288,HD 13908,b,19.38200000,0.154000,0.020000,0.86500,66.89,1.29,HD 13908 b,
289,HD 13908,c,931.00000000,2.030000,0.120000,5.13000,66.89,1.29,HD 13908 c,
290,HD 13931,b,4218.00000000,5.150000,0.020000,1.88000,45.52,1.02,HD 13931 b,
291,HD 139357,b,1125.70000000,2.360000,0.100000,9.76000,121.36,1.35,HD 139357 b,
292,HD 14067,b,1455.00000000,3.400000,0.533000,7.80000,163.40,2.40,HD 14067 b,
293,HD 141399,b,94.44000000,0.415000,0.040000,0.45100,36.20,1.07,HD 141399 b,
294,HD 141399,c,201.99000000,0.689000,0.048000,1.33000,36.20,1.07,HD 141399 c,
295,HD 141399,d,1069.80000000,2.090000,0.074000,1.18000,36.20,1.07,HD 141399 d,
296,HD 141399,e,5000.00000000,5.000000,0.260000,0.66000,36.20,1.07,HD 141399 e,
297,HD 141937,b,653.22000000,1.487700,0.410000,9.31600,33.46,1.03,HD 141937 b,
298,HD 142,b,349.70000000,1.020000,0.170000,1.25000,25.64,1.23,HD 142 b,
299,HD 142,c,6005.00000000,6.800000,0.210000,5.30000,25.64,1.23,HD 142 c,
300,HD 142022 A,b,1928.00000000,3.030000,0.530000,5.10000,35.87,0.99,HD 142022 A b,
301,HD 142245,b,1299.00000000,2.770000,0.090000,1.90000,106.38,1.69,HD 142245 b,
302,HD 142415,b,386.30000000,1.050000,0.500000,1.62000,34.57,1.03,HD 142415 b,
303,HD 143105,b,2.19740000,0.037900,0.070000,1.21000,48.70,1.51,HD 143105 b,
304,HD 143361,b,1057.00000000,2.000000,0.150000,3.12000,59.35,0.95,HD 143361 b,
305,HD 145377,b,103.95000000,0.450000,0.307000,5.76000,55.19,1.12,HD 145377 b,
306,HD 145457,b,176.30000000,0.760000,0.112000,2.90000,126.10,1.90,HD 145457 b,
307,HD 145934,b,2730.00000000,4.600000,0.053000,2.28000,,1.75,HD 145934 b,
308,HD 1461,b,5.77152000,0.063400,0.172000,0.02026,23.44,1.02,HD 1461 b,
309,HD 1461,c,13.50520000,0.111700,0.305000,0.01759,23.44,1.02,HD 1461 c,
310,HD 147018,b,44.23600000,0.238800,0.468600,2.12000,42.96,0.93,HD 147018 b,
311,HD 147018,c,1008.00000000,1.922000,0.133000,6.56000,42.96,0.93,HD 147018 c,
312,HD 147513,b,528.40000000,1.320000,0.260000,1.21000,12.87,1.11,HD 147513 b,
313,HD 148156,b,1027.00000000,2.450000,0.520000,0.85000,53.05,1.22,HD 148156 b,
314,HD 148427,b,331.50000000,0.930000,0.160000,0.96000,59.28,,HD 148427 b,
315,HD 149026,b,2.87589110,,,0.36800,78.86,1.34,HD 149026 b,0.36800
316,HD 149143,b,4.08800000,0.052000,0.080000,1.36000,63.49,1.10,HD 149143 b,
317,HD 1502,b,431.80000000,1.310000,0.101000,3.10000,167.50,1.61,HD 1502 b,
318,HD 150706,b,5894.00000000,6.700000,0.380000,2.71000,27.23,1.17,HD 150706 b,
319,HD 152079,b,2097.00000000,3.200000,0.600000,3.00000,85.18,,HD 152079 b,
320,HD 152581,b,689.00000000,1.480000,0.074000,1.50000,182.82,0.93,HD 152581 b,
321,HD 153950,b,499.40000000,1.280000,0.340000,2.73000,51.87,1.12,HD 153950 b,
322,HD 154345,b,3342.00000000,4.190000,0.044000,0.94700,18.06,,HD 154345 b,
323,HD 154672,b,163.90000000,0.600000,0.610000,5.02000,65.79,,HD 154672 b,
324,HD 154857,b,408.60000000,1.291000,0.460000,2.24000,68.54,1.72,HD 154857 b,
325,HD 154857,c,3452.00000000,5.360000,0.060000,2.58000,68.54,1.72,HD 154857 c,
326,HD 155233,b,818.80000000,2.000000,0.040000,2.60000,75.13,1.69,HD 155233 b,
327,HD 155358,b,194.30000000,0.640000,0.170000,0.85000,43.40,,HD 155358 b,
328,HD 155358,c,391.90000000,1.020000,0.160000,0.82000,43.40,,HD 155358 c,
329,HD 156279,b,131.05000000,0.495000,0.708000,9.71000,35.37,0.93,HD 156279 b,
330,HD 156411,b,842.20000000,1.880000,0.220000,0.74000,55.10,1.25,HD 156411 b,
331,HD 156668,b,4.64550000,0.050000,0.000000,0.01300,24.05,,HD 156668 b,
332,HD 156846,b,359.55460000,1.096000,0.847850,10.57000,49.00,1.35,HD 156846 b,
333,HD 158038,b,521.00000000,1.520000,0.291000,1.80000,114.15,1.65,HD 158038 b,
334,HD 159243,b,12.62000000,0.110000,0.020000,1.13000,68.59,1.12,HD 159243 b,
335,HD 159243,c,248.40000000,0.800000,0.075000,1.90000,68.59,1.12,HD 159243 c,
336,HD 159868,b,1178.40000000,2.250000,0.010000,2.10000,52.72,1.09,HD 159868 b,
337,HD 159868,c,352.30000000,1.000000,0.150000,0.73000,52.72,1.09,HD 159868 c,
338,HD 1605,b,577.90000000,1.480000,0.078000,0.96000,84.60,1.31,HD 1605 b,
339,HD 1605,c,2111.00000000,3.520000,0.098000,3.48000,84.60,1.31,HD 1605 c,
340,HD 160691,b,643.25000000,1.497000,0.128000,1.08000,15.28,1.08,HD 160691 b,
341,HD 160691,c,4205.80000000,5.235000,0.098500,1.81400,15.28,1.08,HD 160691 c,
342,HD 160691,d,9.63860000,0.090940,0.172000,0.03321,15.28,1.08,HD 160691 d,
343,HD 160691,e,310.55000000,0.921000,0.066600,0.52190,15.28,1.08,HD 160691 e,
344,HD 16141,b,75.52300000,0.363000,0.252000,0.26000,35.91,1.12,HD 16141 b,
345,HD 16175,b,990.00000000,2.100000,0.590000,4.40000,59.84,1.29,HD 16175 b,
346,HD 162020,b,8.42819800,0.074000,0.277000,14.40000,31.26,0.75,HD 162020 b,
347,HD 163607,b,75.29000000,0.360000,0.730000,0.77000,69.44,1.09,HD 163607 b,
348,HD 163607,c,1314.00000000,2.420000,0.120000,2.29000,69.44,1.09,HD 163607 c,
349,HD 16417,b,17.24000000,0.140000,0.200000,0.06960,25.54,1.20,HD 16417 b,
350,HD 164509,b,282.40000000,0.875000,0.260000,0.48000,51.81,1.13,HD 164509 b,
351,HD 164595,b,40.00000000,0.230000,0.088000,0.05078,28.93,0.99,HD 164595 b,
352,HD 164604,b,606.40000000,1.300000,0.240000,2.70000,37.98,,HD 164604 b,
353,HD 164922,b,1155.00000000,2.110000,0.050000,0.36000,21.92,0.94,HD 164922 b,
354,HD 1666,b,270.00000000,0.940000,0.630000,6.43000,110.62,1.50,HD 1666 b,
355,HD 166724,b,5144.00000000,5.420000,0.734000,3.53000,42.99,0.81,HD 166724 b,
356,HD 167042,b,420.77000000,1.320000,0.089000,1.70000,50.00,1.50,HD 167042 b,
357,HD 168443,b,58.11247000,0.293100,0.528830,7.65900,37.88,0.99,HD 168443 b,
358,HD 168443,c,1749.83000000,2.837300,0.211300,17.19300,37.88,0.99,HD 168443 c,
359,HD 168746,b,6.40400000,0.065900,0.107000,0.24800,43.12,0.93,HD 168746 b,
360,HD 1690,b,533.00000000,1.300000,0.640000,6.10000,7.01,1.09,HD 1690 b,
361,HD 169830,b,225.62000000,0.810000,0.310000,2.88000,36.32,1.40,HD 169830 b,
362,HD 169830,c,2102.00000000,3.600000,0.330000,4.04000,36.32,1.40,HD 169830 c,
363,HD 170469,b,1145.00000000,2.100000,0.110000,0.67000,64.98,1.14,HD 170469 b,
364,HD 17092,b,359.90000000,,0.166000,4.60000,,2.30,HD 17092 b,
365,HD 171028,b,550.00000000,1.320000,0.590000,1.98000,90.00,0.99,HD 171028 b,
366,HD 171238,b,1523.00000000,2.540000,0.400000,2.60000,44.05,0.94,HD 171238 b,
367,HD 17156,b,21.21663000,0.161400,0.681900,3.22000,75.00,1.24,HD 17156 b,3.22000
368,HD 173416,b,323.60000000,1.160000,0.210000,2.70000,134.95,2.00,HD 173416 b,
369,HD 175167,b,1290.00000000,2.400000,0.540000,7.80000,67.02,,HD 175167 b,
370,HD 175541,b,297.30000000,1.030000,0.330000,0.61000,127.55,1.65,HD 175541 b,
371,HD 175607,b,29.01000000,,0.110000,0.02825,45.27,0.71,HD 175607 b,
372,HD 177830,b,406.60000000,1.221800,0.009000,1.49000,59.03,1.47,HD 177830 b,
373,HD 177830,c,110.90000000,0.513700,0.300000,0.15000,59.03,1.47,HD 177830 c,
374,HD 178911 B,b,71.48400000,0.339000,0.114000,7.03000,47.00,1.01,HD 178911 B b,
375,HD 179079,b,14.47600000,0.121600,0.115000,0.08660,63.69,1.15,HD 179079 b,
376,HD 179949,b,3.09251400,0.044300,0.022000,0.91600,27.05,1.21,HD 179949 b,
377,HD 180314,b,396.03000000,1.400000,0.257000,22.00000,131.75,2.60,HD 180314 b,
378,HD 180902,b,479.00000000,1.390000,0.090000,1.60000,114.55,1.52,HD 180902 b,
379,HD 181342,b,562.10000000,1.650000,0.100000,2.90000,110.62,1.89,HD 181342 b,
380,HD 181433,b,9.37430000,0.080000,0.396000,0.02400,26.15,0.78,HD 181433 b,
381,HD 181433,c,962.00000000,1.760000,0.280000,0.64000,26.15,0.78,HD 181433 c,
382,HD 181433,d,2172.00000000,3.000000,0.480000,0.54000,26.15,0.78,HD 181433 d,
383,HD 181720,b,956.00000000,1.780000,0.260000,0.37000,55.93,0.92,HD 181720 b,
384,HD 183263,b,626.50000000,1.510000,0.356700,3.67000,52.83,1.17,HD 183263 b,
385,HD 183263,c,3070.00000000,4.350000,0.239000,3.57000,52.83,1.17,HD 183263 c,
386,HD 185269,b,6.83800000,0.077000,0.300000,0.94000,47.37,1.28,HD 185269 b,
387,HD 187085,b,986.00000000,2.050000,0.470000,0.75000,44.98,1.22,HD 187085 b,
388,HD 187123,b,3.09658280,0.042600,0.010300,0.52300,47.92,1.00,HD 187123 b,
389,HD 187123,c,3810.00000000,4.890000,0.252000,1.99000,47.92,1.00,HD 187123 c,
390,HD 18742,b,772.00000000,1.920000,0.120000,2.70000,127.88,1.60,HD 18742 b,
391,HD 188015,b,461.20000000,1.203000,0.137000,1.50000,52.63,1.09,HD 188015 b,
392,HD 189733,b,2.21857520,,,,19.25,0.85,HD 189733 b,
393,HD 190360,b,2915.00000000,4.010000,0.313000,1.56000,15.89,0.96,HD 190360 b,
394,HD 190360,c,17.11100000,0.130400,0.237000,0.06000,15.89,0.96,HD 190360 c,
395,HD 190647,b,1038.10000000,2.070000,0.180000,1.90000,54.23,1.10,HD 190647 b,
396,HD 190984,b,4885.00000000,5.500000,0.570000,3.10000,189.39,0.91,HD 190984 b,
397,HD 192263,b,24.35870000,0.153120,0.008000,0.73300,19.89,0.81,HD 192263 b,
398,HD 192310,b,74.72000000,0.320000,0.130000,0.05320,8.82,0.80,HD 192310 b,
399,HD 192310,c,525.80000000,1.180000,0.320000,0.07600,8.82,0.80,HD 192310 c,
400,HD 192699,b,345.53000000,1.150000,0.129000,2.40000,67.39,1.68,HD 192699 b,
401,HD 195019,b,18.20132000,0.138800,0.013800,3.69000,37.35,1.07,HD 195019 b,
402,HD 196050,b,1378.00000000,2.540000,0.228000,2.90000,46.93,1.15,HD 196050 b,
403,HD 196067,b,3638.00000000,5.020000,0.660000,6.90000,43.57,1.29,HD 196067 b,
404,HD 196885,b,1333.00000000,2.370000,0.480000,2.58000,32.99,1.28,HD 196885 b,
405,HD 197037,b,1035.70000000,2.070000,0.220000,0.79000,32.83,,HD 197037 b,
406,HD 19994,b,466.20000000,1.305000,0.063000,1.37000,22.38,1.37,HD 19994 b,
407,HD 200964,b,613.80000000,1.601000,0.040000,1.85000,68.35,1.44,HD 200964 b,
408,HD 200964,c,825.00000000,1.950000,0.181000,0.89500,68.35,1.44,HD 200964 c,
409,HD 202206,b,255.87000000,0.830000,0.435000,17.40000,46.34,1.15,HD 202206 b,
410,HD 202206,c,1383.40000000,2.550000,0.267000,2.44000,46.34,1.15,HD 202206 c,
411,HD 203030,b,,487.100000,,24.09000,40.85,,HD 203030 b,24.09000
412,HD 2039,b,1120.00000000,2.230000,0.715000,6.11000,89.85,1.17,HD 2039 b,
413,HD 204313,b,2024.10000000,3.167000,0.094600,4.28000,47.30,1.02,HD 204313 b,
414,HD 204313,c,34.90500000,0.209900,0.155000,0.05530,47.30,1.02,HD 204313 c,
415,HD 204941,b,1733.00000000,2.560000,0.370000,0.26600,26.95,0.74,HD 204941 b,
416,HD 205739,b,279.80000000,0.896000,0.270000,1.37000,90.33,1.22,HD 205739 b,
417,HD 206610,b,610.00000000,1.680000,0.229000,2.20000,170.07,1.56,HD 206610 b,
418,HD 20782,b,577.90000000,1.359000,0.570000,0.73000,36.02,1.00,HD 20782 b,
419,HD 207832,b,161.97000000,0.570000,0.130000,0.56000,55.31,0.94,HD 207832 b,
420,HD 207832,c,1155.70000000,2.112000,0.270000,0.73000,55.31,0.94,HD 207832 c,
421,HD 20794,b,18.31500000,0.120700,0.000000,0.00850,6.06,0.70,HD 20794 b,
422,HD 20794,c,40.11400000,0.203600,0.000000,0.00760,6.06,0.70,HD 20794 c,
423,HD 20794,d,90.30900000,0.349900,0.000000,0.01500,6.06,0.70,HD 20794 d,
424,HD 208487,b,130.08000000,0.524000,0.240000,0.52000,44.00,1.13,HD 208487 b,
425,HD 208527,b,875.50000000,2.100000,0.080000,9.90000,352.11,1.60,HD 208527 b,
426,HD 20868,b,380.85000000,0.947000,0.750000,1.99000,48.90,0.78,HD 20868 b,
427,HD 209458,b,3.52474859,,,,47.08,1.10,HD 209458 b,
428,HD 210277,b,442.19000000,1.138000,0.476000,1.29000,21.29,1.01,HD 210277 b,
429,HD 210702,b,354.80000000,1.200000,0.094000,1.90000,55.93,1.68,HD 210702 b,
430,HD 212301,b,2.24571500,0.036000,0.000000,0.45000,52.72,1.27,HD 212301 b,
431,HD 212771,b,373.30000000,1.220000,0.111000,2.30000,121.80,1.15,HD 212771 b,
432,HD 213240,b,951.00000000,2.030000,0.450000,4.50000,40.75,,HD 213240 b,
433,HD 215497,b,3.93404000,0.047000,0.160000,0.02000,43.53,0.87,HD 215497 b,
434,HD 215497,c,567.94000000,1.282000,0.490000,0.33000,43.53,0.87,HD 215497 c,
435,HD 216435,b,1311.00000000,2.560000,0.070000,1.26000,33.29,1.30,HD 216435 b,
436,HD 216437,b,1256.00000000,2.320000,0.290000,1.82000,26.52,1.15,HD 216437 b,
437,HD 216536,b,148.60000000,0.609000,0.380000,1.47000,,1.36,HD 216536 b,
438,HD 216770,b,118.45000000,0.460000,0.370000,0.65000,37.89,0.90,HD 216770 b,
439,HD 217107,b,7.12681600,0.074800,0.126700,1.39000,19.72,1.02,HD 217107 b,
440,HD 217107,c,4270.00000000,5.320000,0.517000,2.60000,19.72,1.02,HD 217107 c,
441,HD 217786,b,1319.00000000,2.380000,0.400000,13.00000,54.80,1.02,HD 217786 b,
442,HD 218566,b,225.70000000,0.687300,0.300000,0.21000,29.94,0.85,HD 218566 b,
443,HD 219077,b,5501.00000000,6.220000,0.770000,10.39000,29.20,1.05,HD 219077 b,
444,HD 219134,b,3.09310000,0.038474,0.000000,0.01200,6.55,0.79,HD 219134 b,
445,HD 219134,c,6.76350000,0.064816,0.000000,0.01100,6.55,0.79,HD 219134 c,
446,HD 219134,d,46.71000000,0.235080,0.000000,0.06700,6.55,0.79,HD 219134 d,
447,HD 219134,f,22.80500000,0.145740,0.000000,0.02800,6.55,0.79,HD 219134 f,
448,HD 219134,g,94.20000000,0.375300,0.000000,0.03400,6.55,0.79,HD 219134 g,
449,HD 219134,h,2247.00000000,3.110000,0.060000,0.34000,6.55,0.79,HD 219134 h,
450,HD 219415,b,2093.30000000,3.200000,0.400000,1.00000,169.78,1.00,HD 219415 b,
451,HD 219828,b,3.83350000,,0.000000,0.06000,81.10,1.24,HD 219828 b,
452,HD 220074,b,672.10000000,1.600000,0.140000,11.10000,289.02,1.20,HD 220074 b,
453,HD 220689,b,2209.00000000,3.360000,0.160000,1.06000,45.23,1.04,HD 220689 b,
454,HD 220773,b,3724.70000000,4.940000,0.510000,1.45000,48.43,,HD 220773 b,
455,HD 220842,b,218.47000000,0.740000,0.404000,3.18000,62.50,1.13,HD 220842 b,
456,HD 221287,b,456.10000000,1.250000,0.080000,3.09000,52.88,1.25,HD 221287 b,
457,HD 222155,b,3999.00000000,5.100000,0.160000,1.90000,50.45,1.13,HD 222155 b,
458,HD 222582,b,572.38000000,1.347000,0.725000,7.75000,41.95,0.99,HD 222582 b,
459,HD 224693,b,26.73000000,0.192000,0.050000,0.71000,94.07,1.33,HD 224693 b,
460,HD 22781,b,528.07000000,1.167000,0.819100,13.65000,31.79,0.75,HD 22781 b,
461,HD 23079,b,730.60000000,1.596000,0.102000,2.45000,34.60,1.01,HD 23079 b,
462,HD 23127,b,1214.00000000,2.400000,0.440000,1.50000,89.13,1.13,HD 23127 b,
463,HD 231701,b,141.60000000,0.530000,0.100000,1.08000,108.46,1.14,HD 231701 b,
464,HD 233604,b,192.00000000,0.747000,0.050000,6.57500,,1.50,HD 233604 b,
465,HD 23596,b,1561.00000000,2.772000,0.266000,7.71000,52.00,1.16,HD 23596 b,
466,HD 240210,b,501.75000000,1.160000,0.150000,5.21000,,0.82,HD 240210 b,
467,HD 240237,b,745.70000000,1.900000,0.400000,5.30000,307.69,1.69,HD 240237 b,
468,HD 24040,b,3668.00000000,4.920000,0.040000,4.01000,46.51,1.18,HD 24040 b,
469,HD 24064,b,535.60000000,1.290000,0.350000,9.40000,264.40,1.00,HD 24064 b,
470,HD 25171,b,1845.00000000,3.020000,0.080000,0.95000,56.05,1.09,HD 25171 b,
471,HD 2638,b,3.44420000,0.044000,0.000000,0.48000,53.71,0.93,HD 2638 b,
472,HD 27442,b,428.10000000,1.271000,0.060000,1.56000,18.24,1.23,HD 27442 b,
473,HD 27631,b,2208.00000000,3.250000,0.120000,1.45000,44.54,0.94,HD 27631 b,
474,HD 27894,b,17.99040000,0.125000,0.048600,0.64500,42.37,0.80,HD 27894 b,
475,HD 28185,b,385.90000000,1.032000,0.092000,5.59000,39.60,0.98,HD 28185 b,
476,HD 28254,b,1116.00000000,2.150000,0.810000,1.16000,54.70,1.06,HD 28254 b,
477,HD 285507,b,6.08810000,,0.086000,0.91700,42.43,0.73,HD 285507 b,
478,HD 285968,b,8.78360000,0.066000,0.000000,0.02600,9.42,0.45,HD 285968 b,
479,HD 28678,b,387.10000000,1.250000,0.168000,1.70000,168.92,1.74,HD 28678 b,
480,HD 290327,b,2443.00000000,3.430000,0.080000,2.54000,56.70,0.90,HD 290327 b,
481,HD 2952,b,311.60000000,1.200000,0.129000,1.60000,115.21,2.54,HD 2952 b,
482,HD 30177,b,2770.00000000,3.950000,0.193000,10.45000,54.71,1.01,HD 30177 b,
483,HD 30562,b,1159.20000000,2.315000,0.778000,1.37300,26.50,1.23,HD 30562 b,
484,HD 30669,b,1684.00000000,2.690000,0.180000,0.47000,57.10,0.92,HD 30669 b,
485,HD 30856,b,912.00000000,1.800000,0.117000,1.80000,121.07,1.35,HD 30856 b,
486,HD 31253,b,466.00000000,1.260000,0.300000,0.50000,53.82,1.23,HD 31253 b,
487,HD 32518,b,157.54000000,0.590000,0.010000,3.04000,117.37,1.13,HD 32518 b,
488,HD 32963,b,2372.00000000,3.410000,0.070000,0.70000,35.24,0.94,HD 32963 b,
489,HD 330075,b,3.38773000,0.039000,0.000000,0.62000,50.20,0.70,HD 330075 b,
490,HD 33142,b,326.60000000,1.060000,0.120000,1.30000,136.80,1.48,HD 33142 b,
491,HD 33283,b,18.17900000,0.145000,0.480000,0.33000,86.88,1.24,HD 33283 b,
492,HD 33564,b,388.00000000,1.100000,0.340000,9.10000,20.98,1.25,HD 33564 b,
493,HD 33844,b,551.40000000,1.600000,0.150000,1.96000,100.90,1.78,HD 33844 b,
494,HD 33844,c,916.00000000,2.240000,0.130000,1.75000,100.90,1.78,HD 33844 c,
495,HD 34445,b,1049.00000000,2.070000,0.270000,0.79000,45.01,1.07,HD 34445 b,
496,HD 35759,b,82.46700000,0.389000,0.389000,3.76000,72.50,1.15,HD 35759 b,
497,HD 3651,b,62.21800000,0.295000,0.596000,0.22900,11.10,0.88,HD 3651 b,
498,HD 37124,b,154.46000000,0.530000,0.055000,0.61000,33.24,,HD 37124 b,
499,HD 37124,c,843.60000000,1.640000,0.140000,0.60000,33.24,,HD 37124 c,
500,HD 37124,d,2295.00000000,3.190000,0.200000,0.66000,33.24,,HD 37124 d,
501,HD 37605,b,55.01307000,0.283100,0.676700,2.80200,42.88,1.00,HD 37605 b,
502,HD 37605,c,2720.00000000,3.814000,0.013000,3.36600,42.88,1.00,HD 37605 c,
503,HD 38283,b,363.20000000,1.020000,0.410000,0.34000,37.78,1.08,HD 38283 b,
504,HD 38529,b,14.30980000,0.131000,0.257000,0.83900,42.40,1.48,HD 38529 b,
505,HD 38529,c,2140.20000000,3.712000,0.341000,13.38000,42.40,1.48,HD 38529 c,
506,HD 38801,b,696.30000000,1.700000,0.000000,10.70000,99.40,1.36,HD 38801 b,
507,HD 39091,b,2151.00000000,3.380000,0.640500,10.27000,18.21,1.10,HD 39091 b,
508,HD 40307,b,4.31230000,0.046800,0.200000,0.01260,12.83,0.77,HD 40307 b,
509,HD 40307,c,9.61840000,0.079900,0.060000,0.02080,12.83,0.77,HD 40307 c,
510,HD 40307,d,20.43200000,0.132100,0.070000,0.02990,12.83,0.77,HD 40307 d,
511,HD 40307,f,51.76000000,0.247000,0.020000,0.01640,12.83,0.77,HD 40307 f,
512,HD 40307,g,197.80000000,0.600000,0.290000,0.02230,12.83,0.77,HD 40307 g,
513,HD 40979,b,264.15000000,0.846000,0.252000,4.01000,33.30,1.15,HD 40979 b,
514,HD 41004 A,b,963.00000000,,0.740000,2.54000,43.03,0.70,HD 41004 A b,
515,HD 41004 B,b,1.32830000,,0.081000,18.37000,43.03,0.40,HD 41004 B b,
516,HD 4113,b,526.62000000,1.280000,0.903000,1.56000,44.05,0.99,HD 4113 b,
517,HD 4203,b,437.05000000,1.173500,0.520000,1.82000,77.82,1.13,HD 4203 b,
518,HD 4203,c,6700.00000000,6.950000,0.240000,2.17000,77.82,1.13,HD 4203 c,
519,HD 4208,b,828.00000000,1.650000,0.052000,0.80400,32.70,0.87,HD 4208 b,
520,HD 4308,b,15.56000000,0.115000,0.000000,0.04420,21.85,0.83,HD 4308 b,
521,HD 4313,b,356.00000000,1.190000,0.041000,2.30000,131.41,1.72,HD 4313 b,
522,HD 43197,b,327.80000000,0.920000,0.830000,0.60000,56.30,0.96,HD 43197 b,
523,HD 43691,b,36.96000000,0.240000,0.140000,2.49000,93.20,1.38,HD 43691 b,
524,HD 44219,b,472.30000000,1.190000,0.610000,0.58000,50.40,1.00,HD 44219 b,
525,HD 45350,b,963.60000000,1.920000,0.778000,1.79000,48.95,1.02,HD 45350 b,
526,HD 45364,b,226.93000000,0.681300,0.168400,0.18720,32.58,,HD 45364 b,
527,HD 45364,c,342.85000000,0.897200,0.097400,0.65790,32.58,,HD 45364 c,
528,HD 45652,b,43.60000000,0.230000,0.380000,0.47000,36.14,0.83,HD 45652 b,
529,HD 46375,b,3.02357300,0.039800,0.063000,0.22600,33.41,0.92,HD 46375 b,
530,HD 47186,b,4.08450000,0.050000,0.038000,0.07167,37.84,0.99,HD 47186 b,
531,HD 47186,c,1353.60000000,2.395000,0.249000,0.35061,37.84,0.99,HD 47186 c,
532,HD 4732,b,360.20000000,1.190000,0.130000,2.37000,56.50,1.74,HD 4732 b,
533,HD 4732,c,2732.00000000,4.600000,0.230000,2.37000,56.50,1.74,HD 4732 c,
534,HD 47536,b,712.13000000,1.930000,0.200000,7.32000,121.36,0.91,HD 47536 b,
535,HD 48265,b,762.00000000,1.600000,0.240000,1.20000,87.41,1.22,HD 48265 b,
536,HD 49674,b,4.94737000,0.058000,0.087000,0.10500,40.73,1.06,HD 49674 b,
537,HD 50499,b,2482.70000000,3.860000,0.230000,1.71000,47.26,1.24,HD 50499 b,
538,HD 50554,b,1293.00000000,2.353000,0.501000,4.95400,31.03,1.04,HD 50554 b,
539,HD 52265,b,119.60000000,0.500000,0.350000,1.05000,28.07,1.18,HD 52265 b,
540,HD 5319,b,641.00000000,1.669700,0.020000,1.76000,114.00,1.51,HD 5319 b,
541,HD 5319,c,886.00000000,2.071000,0.150000,1.15000,114.00,1.51,HD 5319 c,
